title,text,label
,SHOCKING!!! You will NOT believe what they are hiding about the vaccine rollout!!! Share this before it gets DELETED forever,FAKE
,SHOCKING!!! You will NOT believe what they are hiding about 5G cell towers!!! Share this before it gets DELETED forever,FAKE
,A new report on a new library branch was published this week by the regional planning office.,REAL
,City officials released an update on the county fair schedule following a public session held on Tuesday.,REAL
,"EXPOSED: the shocking truth about classified military files that THEY never wanted you to find out, wake up people",FAKE
,The department responsible for a public health advisory issued a routine update outlining next steps for the coming quarter.,REAL
,"Officials confirmed that the downtown bus schedule remains on schedule, based on figures presented at the latest briefing.",REAL
,"Officials confirmed that a university research grant remains on schedule, based on figures presented at the latest briefing.",REAL
,"Doctors and officials are FURIOUS after this one weird trick about a big tech company was exposed, they dont want you to see this",FAKE
,"According to a statement from local authorities, the county court schedule will be reviewed at the next scheduled meeting.",REAL
,A new report on seasonal highway maintenance was published this week by the regional planning office.,REAL
,City officials released an update on a hospital staffing report following a public session held on Tuesday.,REAL
,A new report on quarterly company earnings was published this week by the regional planning office.,REAL
,"EXPOSED: the shocking truth about a secret alien base that THEY never wanted you to find out, wake up people",FAKE
,"According to a statement from local authorities, a new recycling program will be reviewed at the next scheduled meeting.",REAL
,"Doctors and officials are FURIOUS after this one weird trick about smartphone tracking was exposed, they dont want you to see this",FAKE
,"EXPOSED: the shocking truth about the president health that THEY never wanted you to find out, wake up people",FAKE
,"BREAKING: anonymous insider LEAKS secret documents exposing the truth about the city water supply, mainstream media stays silent",FAKE
,City officials released an update on this year local elections following a public session held on Tuesday.,REAL
,"You wont believe this INSANE secret about the moon landing footage, everyone is sharing this shocking discovery right now",FAKE
,"Officials confirmed that the latest census report remains on schedule, based on figures presented at the latest briefing.",REAL
,"You wont believe this INSANE secret about a government agency, everyone is sharing this shocking discovery right now",FAKE
,The department responsible for a bridge repair project issued a routine update outlining next steps for the coming quarter.,REAL
,"Officials confirmed that a nonprofit fundraising drive remains on schedule, based on figures presented at the latest briefing.",REAL
,SHOCKING!!! You will NOT believe what they are hiding about a famous tech billionaire!!! Share this before it gets DELETED forever,FAKE
,A new report on a wildlife conservation project was published this week by the regional planning office.,REAL
,SHOCKING!!! You will NOT believe what they are hiding about the school system!!! Share this before it gets DELETED forever,FAKE
,"Doctors and officials are FURIOUS after this one weird trick about a pharmaceutical company was exposed, they dont want you to see this",FAKE
,"You wont believe this INSANE secret about major banks, everyone is sharing this shocking discovery right now",FAKE
,City officials released an update on the annual city budget following a public session held on Tuesday.,REAL
,"BREAKING: anonymous insider LEAKS secret documents exposing the truth about the national power grid, mainstream media stays silent",FAKE
,"BREAKING: anonymous insider LEAKS secret documents exposing the truth about internet privacy, mainstream media stays silent",FAKE
,"You wont believe this INSANE secret about a viral health remedy, everyone is sharing this shocking discovery right now",FAKE
,City officials released an update on the airport expansion plan following a public session held on Tuesday.,REAL
,"BREAKING: anonymous insider LEAKS secret documents exposing the truth about climate research funding, mainstream media stays silent",FAKE
,"According to a statement from local authorities, regional rainfall patterns will be reviewed at the next scheduled meeting.",REAL
,"Officials confirmed that the port authority budget remains on schedule, based on figures presented at the latest briefing.",REAL
,A new report on the water treatment plant upgrade was published this week by the regional planning office.,REAL
,"According to a statement from local authorities, regional vaccination rates will be reviewed at the next scheduled meeting.",REAL
,"You wont believe this INSANE secret about a new 5G health study, everyone is sharing this shocking discovery right now",FAKE
,The department responsible for a proposed zoning change issued a routine update outlining next steps for the coming quarter.,REAL
,"BREAKING: anonymous insider LEAKS secret documents exposing the truth about the upcoming election, mainstream media stays silent",FAKE
,"BREAKING: anonymous insider LEAKS secret documents exposing the truth about airport security, mainstream media stays silent",FAKE
,"Doctors and officials are FURIOUS after this one weird trick about the national economy was exposed, they dont want you to see this",FAKE
,"According to a statement from local authorities, the parks department budget will be reviewed at the next scheduled meeting.",REAL
,The department responsible for the school curriculum update issued a routine update outlining next steps for the coming quarter.,REAL
,City officials released an update on the central bank interest rate following a public session held on Tuesday.,REAL
,"EXPOSED: the shocking truth about the housing market that THEY never wanted you to find out, wake up people",FAKE
,The department responsible for a regional housing survey issued a routine update outlining next steps for the coming quarter.,REAL
,SHOCKING!!! You will NOT believe what they are hiding about the stock market crash!!! Share this before it gets DELETED forever,FAKE
,"Doctors and officials are FURIOUS after this one weird trick about a new tax law was exposed, they dont want you to see this",FAKE
,"EXPOSED: the shocking truth about a social media platform that THEY never wanted you to find out, wake up people",FAKE
,The department responsible for the fire department budget issued a routine update outlining next steps for the coming quarter.,REAL
,SHOCKING!!! You will NOT believe what they are hiding about a popular vitamin supplement!!! Share this before it gets DELETED forever,FAKE
,"Doctors and officials are FURIOUS after this one weird trick about a Hollywood celebrity was exposed, they dont want you to see this",FAKE
,"According to a statement from local authorities, public transit funding will be reviewed at the next scheduled meeting.",REAL
,"You wont believe this INSANE secret about a local hospital, everyone is sharing this shocking discovery right now",FAKE
,"EXPOSED: the shocking truth about weather modification that THEY never wanted you to find out, wake up people",FAKE
,A new report on the state legislature session was published this week by the regional planning office.,REAL
,"Officials confirmed that a renewable energy grant remains on schedule, based on figures presented at the latest briefing.",REAL
